direction,layer,auroc_mean,auroc_ci_lo,auroc_ci_hi,balanced_acc_mean,balanced_acc_ci_lo,balanced_acc_ci_hi
and->or,0,0.5492133333333333,0.5354658844022093,0.5629607822644573,0.5,0.5,0.5
and->or,1,0.5788716666666668,0.5629295986122081,0.5948137347211254,0.5,0.5,0.5
and->or,2,0.57803,0.564501431513933,0.5915585684860671,0.507,0.5035217398212732,0.5104782601787268
and->or,3,0.5966383333333333,0.5868228684951804,0.6064537981714861,0.5065,0.5015161285101826,0.5114838714898173
and->or,4,0.6020733333333332,0.5925891906354617,0.6115574760312048,0.5061666666666667,0.5033710071792278,0.5089623261541055
and->or,5,0.7270833333333334,0.7192322287173325,0.7349344379493343,0.5075,0.5002940090513404,0.5147059909486595
and->or,6,0.720375,0.7161492296222172,0.7246007703777828,0.5163333333333333,0.5082320638256553,0.5244346028410113
and->or,7,0.781945,0.7686972062507615,0.7951927937492385,0.562,0.5421695163175846,0.5818304836824155
and->or,8,0.786815,0.7736184426206336,0.8000115573793665,0.5018333333333334,0.5001331148816878,0.5035335517849789
and->or,9,0.8013999999999999,0.7897774480278721,0.8130225519721277,0.5141666666666667,0.5084992718278478,0.5198340615054855
and->or,10,0.93829,0.9356186543400572,0.9409613456599427,0.6656666666666666,0.6391104211756028,0.6922229121577305
and->or,11,0.9212399999999998,0.915092542221215,0.9273874577787846,0.5946666666666667,0.5680178553654466,0.6213154779678868
and->or,12,0.915625,0.907185499301798,0.924064500698202,0.5443333333333333,0.5251086924244798,0.5635579742421869
and->or,13,0.9360716666666666,0.9285380644144744,0.9436052689188589,0.517,0.5088657581561842,0.5251342418438159
and->or,14,0.9321183333333334,0.9284259744896046,0.9358106921770621,0.5031666666666667,0.5013157032632015,0.5050176300701318
and->or,15,0.9626433333333333,0.9608293626377514,0.9644573040289152,0.5013333333333334,0.49994511078073456,0.5027215558859323
and->or,16,0.9590583333333333,0.9551353251272836,0.9629813415393831,0.5003333333333334,0.4994078516316008,0.501258815035066
and->or,17,0.9462116666666667,0.9417833999191896,0.9506399334141438,0.5,0.5,0.5
and->or,18,0.9497183333333334,0.9432270200823022,0.9562096465843647,0.5,0.5,0.5
and->or,19,0.93836,0.932194221691985,0.944525778308015,0.5,0.5,0.5
and->or,20,0.9248666666666667,0.9177480713137974,0.931985262019536,0.5,0.5,0.5
and->or,21,0.916355,0.8984332559348233,0.9342767440651768,0.5006666666666667,0.49931755684607615,0.5020157764872573
and->or,22,0.8784333333333333,0.8583110020745378,0.8985556645921288,0.5006666666666667,0.4988157032632015,0.5025176300701318
and->or,23,0.8803516666666666,0.8711729525589713,0.889530380774362,0.5003333333333334,0.4994078516316008,0.501258815035066
and->or,24,0.8812183333333333,0.8769587642131974,0.8854779024534692,0.5,0.5,0.5
and->or,25,0.8697699999999999,0.8590420477059951,0.8804979522940047,0.5,0.5,0.5
and->or,26,0.8357016666666667,0.8293544315571615,0.8420489017761719,0.5005000000000001,0.49957451829826743,0.5014254817017326
and->or,27,0.8232866666666666,0.8126101396185446,0.8339631937147887,0.5006666666666667,0.49980095780526373,0.5015323755280697
or->and,0,0.538195,0.5312632772016168,0.5451267227983831,0.5,0.5,0.5
or->and,1,0.5612041666666666,0.5547521896347436,0.5676561436985896,0.5006666666666667,0.4995331876989029,0.5018001456344305
or->and,2,0.5760816666666667,0.5597280825612533,0.5924352507720801,0.5008333333333332,0.4995660653218402,0.5021006013448263
or->and,3,0.580635,0.5623847780308703,0.5988852219691297,0.5006666666666667,0.49980095780526373,0.5015323755280697
