layer,train_set,eval_set,label_scheme,accuracy,auroc,n,base_rate
12,cities,compound_cities,conjunct_count,0.76375,0.8667229166666666,1600,0.25
13,cities,neg_cities,single,0.5,0.0001286854070748382,1496,0.5
13,cities,sp_en_trans,single,0.9717514124293786,0.9979890835966676,354,0.5
13,cities,compound_cities,pooled,0.5075,0.6886140625,1600,0.5
13,cities,compound_cities,and_only,0.76125,0.8972166666666666,800,0.25
13,cities,compound_cities,or_only,0.25375,0.8309583333333332,800,0.75
13,cities,compound_cities,conjunct_count,0.7575,0.8608020833333334,1600,0.25
14,cities,neg_cities,single,0.5,0.003590680316852069,1496,0.5
14,cities,sp_en_trans,single,0.864406779661017,0.9991700979922755,354,0.5
14,cities,compound_cities,pooled,0.5625,0.6785109375,1600,0.5
14,cities,compound_cities,and_only,0.8575,0.9194083333333334,800,0.25
14,cities,compound_cities,or_only,0.2675,0.8353999999999999,800,0.75
14,cities,compound_cities,conjunct_count,0.8125,0.8784520833333332,1600,0.25
15,cities,neg_cities,single,0.5,0.05246075095084218,1496,0.5
15,cities,sp_en_trans,single,0.9519774011299436,0.9995850489961378,354,0.5
15,cities,compound_cities,pooled,0.5675,0.6250625,1600,0.5
15,cities,compound_cities,and_only,0.8675,0.9276249999999999,800,0.25
15,cities,compound_cities,or_only,0.2675,0.9052749999999999,800,0.75
15,cities,compound_cities,conjunct_count,0.8175,0.87376875,1600,0.25
16,cities,neg_cities,single,0.49866310160427807,0.14328941348051133,1496,0.5
16,cities,sp_en_trans,single,0.9858757062146892,0.9990105014523285,354,0.5
16,cities,compound_cities,pooled,0.511875,0.5349593749999999,1600,0.5
16,cities,compound_cities,and_only,0.74875,0.9519083333333334,800,0.25
16,cities,compound_cities,or_only,0.275,0.8766999999999999,800,0.75
16,cities,compound_cities,conjunct_count,0.760625,0.8170000000000002,1600,0.25
17,cities,neg_cities,single,0.4919786096256685,0.1482420143555721,1496,0.5
17,cities,sp_en_trans,single,0.9689265536723164,0.9984040346005298,354,0.5
17,cities,compound_cities,pooled,0.5675,0.5785734375,1600,0.5
17,cities,compound_cities,and_only,0.86875,0.9585083333333334,800,0.25
17,cities,compound_cities,or_only,0.26625,0.8785666666666667,800,0.75
17,cities,compound_cities,conjunct_count,0.8175,0.8402166666666666,1600,0.25
18,cities,neg_cities,single,0.4338235294117647,0.11138347536389373,1496,0.5
18,cities,sp_en_trans,single,0.9463276836158192,0.9993935331482013,354,0.5
18,cities,compound_cities,pooled,0.564375,0.58515625,1600,0.5
18,cities,compound_cities,and_only,0.8525,0.9411583333333333,800,0.25
18,cities,compound_cities,or_only,0.27625,0.8401916666666667,800,0.75
18,cities,compound_cities,conjunct_count,0.808125,0.830875,1600,0.25
19,cities,neg_cities,single,0.49933155080213903,0.21004854299522435,1496,0.5
19,cities,sp_en_trans,single,0.7937853107344632,0.9986913083724345,354,0.5
19,cities,compound_cities,pooled,0.56,0.5439,1600,0.5
19,cities,compound_cities,and_only,0.86625,0.9342,800,0.25
19,cities,compound_cities,or_only,0.25375,0.85175,800,0.75
19,cities,compound_cities,conjunct_count,0.8075,0.8146791666666666,1600,0.25
20,cities,neg_cities,single,0.4859625668449198,0.14373623781063227,1496,0.5
20,cities,sp_en_trans,single,0.7768361581920904,0.9862746975645569,354,0.5
20,cities,compound_cities,pooled,0.54375,0.5390140625,1600,0.5
20,cities,compound_cities,and_only,0.81,0.9115916666666666,800,0.25
20,cities,compound_cities,or_only,0.2775,0.8175083333333333,800,0.75
20,cities,compound_cities,conjunct_count,0.785,0.79463125,1600,0.25
21,cities,neg_cities,single,0.5,0.06647494924075611,1496,0.5
