label_scheme,layer,auroc_mean,auroc_ci_lo,auroc_ci_hi
pooled,0,0.55690078125,0.5424165744907723,0.5713849880092277
pooled,1,0.613443125,0.6088638964101893,0.6180223535898106
pooled,2,0.5255560937499999,0.5080194497034256,0.5430927377965742
pooled,3,0.6661515625000001,0.6495529050815245,0.6827502199184756
pooled,4,0.5664953125000001,0.5564210575779241,0.576569567422076
pooled,5,0.58619375,0.5738175190146073,0.5985699809853926
pooled,6,0.6666240625000001,0.6456720262313027,0.6875760987686974
pooled,7,0.698814375,0.6852931581147073,0.7123355918852927
pooled,8,0.723169375,0.6736996545867115,0.7726390954132885
pooled,9,0.6652184375,0.6288792688631724,0.7015576061368276
pooled,10,0.76518,0.7281414438574926,0.8022185561425074
pooled,11,0.64129375,0.5828758754259411,0.6997116245740589
pooled,12,0.7790278125000001,0.7339279671164871,0.824127657883513
pooled,13,0.7741421875000001,0.727729438713731,0.8205549362862692
pooled,14,0.5707160937500001,0.5119529194362293,0.6294792680637709
pooled,15,0.6153359375,0.5557896149144085,0.6748822600855916
pooled,16,0.48955484375,0.44721447016875915,0.5318952173312409
pooled,17,0.6671203125,0.6387088493090181,0.695531775690982
pooled,18,0.6837978125,0.6675400463481554,0.7000555786518446
pooled,19,0.6465296875,0.630237451003266,0.6628219239967339
pooled,20,0.6406962500000001,0.63168169497863,0.6497108050213701
pooled,21,0.7283137500000001,0.7154514175283844,0.7411760824716158
pooled,22,0.592145,0.5507578917060305,0.6335321082939696
pooled,23,0.5677240625,0.5165147360000519,0.618933388999948
pooled,24,0.5248371875,0.4960329083487964,0.5536414666512035
pooled,25,0.485075,0.4583457248592843,0.5118042751407156
pooled,26,0.4901090625,0.4478164357509956,0.5324016892490044
pooled,27,0.41272906249999997,0.38665148183118103,0.4388066431688189
and_only,0,0.5241533333333332,0.5179818916486614,0.5303247750180051
and_only,1,0.5330266666666666,0.5196620063059575,0.5463913270273758
and_only,2,0.6064350000000001,0.6026712822768155,0.6101987177231846
and_only,3,0.5783133333333333,0.5665685466403709,0.5900581200262958
and_only,4,0.5393950000000001,0.5301787355557877,0.5486112644442125
and_only,5,0.6910716666666668,0.6839471194174286,0.6981962139159049
and_only,6,0.7031516666666667,0.7004505281782785,0.705852805155055
and_only,7,0.7732233333333334,0.7691400064880136,0.7773066601786531
and_only,8,0.756335,0.7500705996924838,0.7625994003075162
and_only,9,0.7282083333333333,0.720795458154088,0.7356212085125787
and_only,10,0.803545,0.7910183380725272,0.8160716619274727
and_only,11,0.7614666666666666,0.7482701892012472,0.774663144132086
and_only,12,0.7322816666666666,0.7205129936585031,0.7440503396748301
and_only,13,0.8741983333333334,0.8674488475656001,0.8809478191010667
and_only,14,0.8798233333333332,0.8723677345112079,0.8872789321554585
and_only,15,0.8782816666666665,0.8660932922566988,0.8904700410766342
and_only,16,0.9345700000000001,0.931190933355563,0.9379490666444372
and_only,17,0.9315566666666666,0.925213016999272,0.9379003163340611
